Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J2","Micro_SD_Card","Conn_uSDcard",159.68,-88.48,180.0,top
"U1","AP1117-33","SOT-223-3_TabPin2",147.76,-99.32,90.0,top
"R3","2K2","R_0603_1608Metric",148.1725,-110.89,0.0,top
"D1","LED","LED_0603_1608Metric",148.18,-112.37,180.0,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",141.42,-87.955,180.0,top
"C3","100nF","C_0402_1005Metric",138.225,-96.46,0.0,top
"U2","CH340B","SOIC-16_3.9x9.9mm_P1.27mm",138.99,-102.82,90.0,top
"R5","10K","R_0402_1005Metric",131.83,-103.0,90.0,top
"R4","10K","R_0402_1005Metric",133.83,-103.0,90.0,top
"R2","5.1K","R_0402_1005Metric",147.91,-89.55,270.0,top
"R1","5.1K","R_0402_1005Metric",134.98,-89.555,270.0,top
"Q2"," MMBT3904","SOT-23",132.83,-105.69,0.0,top
"Q1"," MMBT3904","SOT-23",132.83,-100.32,180.0,top
"C4","100nf","C_0402_1005Metric",133.37,-108.03,0.0,top
"C1","1uF","C_0402_1005Metric",136.065,-108.79,180.0,top
"C2","1uF","C_0805_2012Metric",148.1325,-109.21,0.0,top
